Time,Data
2023-09-27T07:28:00,9.06
2023-09-27T07:30:00,11.54
2023-09-27T07:32:00,13.5
2023-09-27T07:34:00,15.4
2023-09-27T07:36:00,16.93
2023-09-27T07:38:00,16.2
2023-09-27T07:40:00,17.0
2023-09-27T07:42:00,15.64
2023-09-27T07:44:00,15.5
2023-09-27T07:46:00,18.5
2023-09-27T07:48:00,19.6
2023-09-27T07:50:00,20.64
2023-09-27T07:52:00,22.62
2023-09-27T07:54:00,26.4
2023-09-27T07:56:00,25.42
2023-09-27T07:58:00,25.5
2023-09-27T08:00:00,14.92
2023-09-27T08:02:00,22.9
2023-09-27T08:04:00,32.3
2023-09-27T08:06:00,33.64
2023-09-27T08:08:00,33.3
2023-09-27T08:10:00,33.2
2023-09-27T08:12:00,34.3
2023-09-27T08:14:00,37.43
2023-09-27T08:16:00,46.1
2023-09-27T08:18:00,49.9
2023-09-27T08:20:00,50.93
2023-09-27T08:22:00,49.31
2023-09-27T08:24:00,49.1
2023-09-27T08:26:00,48.0
2023-09-27T08:28:00,48.3
2023-09-27T08:30:00,48.5
2023-09-27T08:32:00,46.44
2023-09-27T08:34:00,45.6
2023-09-27T08:36:00,47.0
2023-09-27T08:38:00,49.34
2023-09-27T08:40:00,52.53
2023-09-27T08:42:00,54.2
2023-09-27T08:44:00,59.34
2023-09-27T08:46:00,61.2
2023-09-27T08:48:00,61.93
2023-09-27T08:50:00,66.42
2023-09-27T08:52:00,68.21
2023-09-27T08:54:00,69.4
2023-09-27T08:56:00,66.93
2023-09-27T08:58:00,68.44
2023-09-27T09:00:00,68.8
2023-09-27T09:02:00,74.63
2023-09-27T09:04:00,74.5
2023-09-27T09:06:00,80.83
2023-09-27T09:08:00,84.8
2023-09-27T09:10:00,86.73
2023-09-27T09:12:00,98.61
2023-09-27T09:14:00,107.0
2023-09-27T09:16:00,121.0
2023-09-27T09:18:00,129.0
2023-09-27T09:20:00,133.4
2023-09-27T09:22:00,152.0
2023-09-27T09:24:00,168.0
2023-09-27T09:26:00,180.4
2023-09-27T09:28:00,202.0
2023-09-27T09:30:00,224.0
2023-09-27T09:32:00,236.1
2023-09-27T09:34:00,244.0
2023-09-27T09:36:00,256.0
2023-09-27T09:38:00,288.2
